,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
0,/title/tt0112130/?ref_=ttls_li_tt,Pride and Prejudice,101,(1995),PG,327  ,"Drama, Romance",8.8,"['Colin Firth', 'Jennifer Ehle', 'Susannah Harker', 'Julia Sawalha']",87578,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy."
1,/title/tt0285403/?ref_=ttls_li_tt,Scrubs,102,(2001–2010),14,22  ,"Comedy, Drama",8.4,"['Zach Braff', 'Donald Faison', 'Sarah Chalke', 'John C. McGinley']",261625,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life."
2,/title/tt7221388/?ref_=ttls_li_tt,Cobra Kai,103,(2018–2023),14,30  ,"Action, Comedy, Drama",8.5,"['Ralph Macchio', 'William Zabka', 'Courtney Henggeler', 'Xolo Maridueña']",192975,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
3,/title/tt1796960/?ref_=ttls_li_tt,Homeland,104,(2011–2020),MA,55  ,"Crime, Drama, Mystery",8.3,"['Claire Danes', 'Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']",348872,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
4,/title/tt1119644/?ref_=ttls_li_tt,Fringe,105,(2008–2013),14,46  ,"Drama, Mystery, Sci-Fi",8.4,"['Anna Torv', 'Joshua Jackson', 'John Noble', 'Jasika Nicole']",249161,An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.
5,/title/tt5834204/?ref_=ttls_li_tt,The Handmaid's Tale,106,(2017– ),MA,60  ,"Drama, Sci-Fi, Thriller",8.4,"['Elisabeth Moss', 'Yvonne Strahovski', 'Ann Dowd', 'O-T Fagbenle']",246318,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
6,/title/tt1839578/?ref_=ttls_li_tt,Person of Interest,107,(2011–2016),14,43  ,"Action, Crime, Drama",8.5,"['Jim Caviezel', 'Taraji P. Henson', 'Kevin Chapman', 'Michael Emerson']",180944,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery."
7,/title/tt0118421/?ref_=ttls_li_tt,Oz,108,(1997–2003),MA,55  ,"Crime, Drama, Thriller",8.7,"['Ernie Hudson', 'J.K. Simmons', 'Lee Tergesen', 'Dean Winters']",102103,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.
8,/title/tt0387199/?ref_=ttls_li_tt,Entourage,109,(2004–2011),MA,28  ,"Comedy, Drama",8.5,"['Kevin Connolly', 'Adrian Grenier', 'Kevin Dillon', 'Jerry Ferrara']",172315,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.
9,/title/tt7767422/?ref_=ttls_li_tt,Sex Education,110,(2019– ),MA,45  ,"Comedy, Drama",8.3,"['Asa Butterfield', 'Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey']",298322,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
10,/title/tt3230854/?ref_=ttls_li_tt,The Expanse,111,(2015–2022),14,60  ,"Drama, Mystery, Sci-Fi",8.5,"['Steven Strait', 'Dominique Tipper', 'Wes Chatham', 'Shohreh Aghdashloo']",160246,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente."
